method,k,final_train_mean,final_train_std,final_test_mean,final_test_std,final_gap_mean,final_gap_std
vanilla,1,0.43333333333333335,0.07200822998230956,0.26666666666666666,0.14401645996461912,0.16666666666666666,0.12472191289246473
l2,1,0.2777777777777778,0.0955813918560292,0.3111111111111111,0.10999438818457406,-0.03333333333333333,0.04714045207910316
augmentation,1,0.6555555555555556,0.03142696805273544,0.3111111111111111,0.06849348892187752,0.3444444444444444,0.04157397096415492
par,1,0.5666666666666668,0.16996731711975951,0.32222222222222224,0.07856742013183862,0.24444444444444446,0.0955813918560292
vanilla,2,0.5888888888888889,0.10999438818457404,0.2888888888888889,0.05665577237325315,0.3,0.14142135623730948
l2,2,0.3111111111111111,0.13966450099973926,0.3888888888888889,0.041573970964154924,-0.07777777777777779,0.12570787221094176
augmentation,2,0.6666666666666666,0.07200822998230953,0.2555555555555556,0.10304020550550783,0.41111111111111104,0.09558139185602917
par,2,0.5666666666666668,0.15153535218873174,0.24444444444444446,0.056655772373253165,0.32222222222222224,0.16629588385661961
vanilla,3,0.5111111111111111,0.09558139185602917,0.16666666666666666,0.04714045207910317,0.3444444444444444,0.05665577237325314
l2,3,0.5777777777777777,0.09558139185602917,0.26666666666666666,0.07200822998230953,0.3111111111111111,0.16405358955814886
augmentation,3,0.6333333333333333,0.09428090415820638,0.26666666666666666,0.02721655269759086,0.3666666666666667,0.11863420280034795
par,3,0.6444444444444444,0.0684934889218775,0.2111111111111111,0.01571348402636772,0.4333333333333333,0.05443310539518172
